epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.789,0.49996,2.4057,1.07296,0.45235,0.49241,0.50852,0.45668,0.45949,2.18144,0.89592,0.000332579,0.000332579,0.000332579
2,1299.73,0.53,1.79722,1.07203,0.67677,0.54931,0.61958,0.55012,0.51541,1.88129,0.96318,0.000652727,0.000652727,0.000652727
3,1843.74,0.5546,1.67705,1.08705,0.63576,0.64031,0.69763,0.63058,0.44793,1.54525,0.86924,0.000959676,0.000959676,0.000959676
4,2377.61,0.54959,1.53051,1.09044,0.72421,0.61336,0.69404,0.61281,0.51405,1.3741,0.93434,0.0009406,0.0009406,0.0009406
5,2978.75,0.50754,1.38848,1.05006,0.67365,0.57096,0.61671,0.53429,0.62941,1.5988,1.07216,0.0009208,0.0009208,0.0009208
6,3686.08,0.48491,1.31326,1.04376,0.61388,0.76591,0.74614,0.6617,0.48911,1.16503,0.92377,0.000901,0.000901,0.000901
7,4360.62,0.47621,1.2209,1.04148,0.65448,0.73137,0.74416,0.66879,0.47137,1.27726,0.88305,0.0008812,0.0008812,0.0008812
8,5185.69,0.46204,1.17187,1.03216,0.62789,0.64813,0.71378,0.6639,0.38529,1.14915,0.8007,0.0008614,0.0008614,0.0008614
9,6476.15,0.43953,1.14913,1.01733,0.81686,0.66323,0.79405,0.73329,0.40066,1.00914,0.806,0.0008416,0.0008416,0.0008416
10,7164.18,0.42487,1.10339,1.00714,0.72933,0.7753,0.79849,0.75443,0.34337,0.86813,0.75189,0.0008218,0.0008218,0.0008218
11,9961.42,0.42243,1.04036,1.00389,0.68362,0.81767,0.81565,0.75668,0.36345,0.93955,0.79055,0.000802,0.000802,0.000802
12,11787.3,0.40873,0.98843,0.99531,0.77605,0.75574,0.83087,0.80018,0.31934,0.8532,0.72806,0.0007822,0.0007822,0.0007822
13,13714.5,0.40904,1.0521,1.00061,0.72032,0.79216,0.83786,0.80211,0.29366,0.7949,0.70141,0.0007624,0.0007624,0.0007624
14,14668.1,0.38918,0.9786,0.98846,0.77579,0.76427,0.8469,0.79708,0.33799,0.79755,0.74473,0.0007426,0.0007426,0.0007426
15,15525.9,0.39014,0.93929,0.98403,0.70922,0.80559,0.83254,0.79638,0.31545,0.80146,0.74067,0.0007228,0.0007228,0.0007228
16,16216.3,0.37527,0.91152,0.97856,0.74972,0.77883,0.85033,0.81633,0.31347,0.83997,0.72894,0.000703,0.000703,0.000703
17,17759.5,0.37378,0.9236,0.98134,0.73612,0.81501,0.8407,0.80273,0.30014,0.76788,0.70553,0.0006832,0.0006832,0.0006832
18,21038.8,0.36177,0.86292,0.97367,0.81421,0.77479,0.85796,0.81277,0.32795,0.76061,0.74512,0.0006634,0.0006634,0.0006634
19,21716.4,0.37208,0.85659,0.97255,0.81955,0.81386,0.86692,0.83418,0.28866,0.67333,0.70247,0.0006436,0.0006436,0.0006436
20,22255.3,0.36235,0.83326,0.97376,0.81578,0.81644,0.88034,0.85157,0.26763,0.67487,0.68429,0.0006238,0.0006238,0.0006238
21,23112.9,0.36017,0.79207,0.97166,0.84739,0.78771,0.89023,0.85956,0.26672,0.65706,0.68784,0.000604,0.000604,0.000604
22,24044.4,0.35229,0.79278,0.962,0.79481,0.76701,0.85856,0.83233,0.27363,0.76003,0.69763,0.0005842,0.0005842,0.0005842
23,24986.8,0.34689,0.76248,0.96403,0.85927,0.79264,0.89244,0.85513,0.29641,0.70866,0.72451,0.0005644,0.0005644,0.0005644
24,26519.9,0.34601,0.75525,0.96314,0.85726,0.78824,0.89003,0.85889,0.2834,0.65096,0.72048,0.0005446,0.0005446,0.0005446
25,27902,0.32971,0.72288,0.95662,0.8441,0.81129,0.89537,0.86848,0.26899,0.63083,0.68852,0.0005248,0.0005248,0.0005248
26,28990.6,0.33084,0.71132,0.95318,0.8585,0.79295,0.90054,0.87348,0.26904,0.66418,0.68576,0.000505,0.000505,0.000505
27,29658.3,0.32666,0.67835,0.95007,0.86871,0.83995,0.91344,0.89202,0.24597,0.52983,0.67138,0.0004852,0.0004852,0.0004852
28,33045.8,0.31771,0.68218,0.94874,0.90645,0.79506,0.90808,0.8858,0.25666,0.59586,0.67539,0.0004654,0.0004654,0.0004654
29,33975.3,0.32304,0.66964,0.95499,0.82626,0.87579,0.90346,0.88649,0.23405,0.54557,0.65159,0.0004456,0.0004456,0.0004456
30,34958.5,0.31348,0.6426,0.94423,0.83481,0.83899,0.91558,0.8973,0.2346,0.55031,0.65368,0.0004258,0.0004258,0.0004258
31,35862.3,0.29434,0.62184,0.93794,0.8388,0.86641,0.91612,0.90039,0.23526,0.52246,0.65283,0.000406,0.000406,0.000406
32,37159.5,0.30229,0.61593,0.94049,0.84504,0.85151,0.91274,0.89469,0.24099,0.56165,0.66023,0.0003862,0.0003862,0.0003862
33,45884.8,0.29738,0.62022,0.93909,0.82819,0.87811,0.90953,0.89143,0.23371,0.53666,0.64966,0.0003664,0.0003664,0.0003664
34,68487.1,0.29897,0.5981,0.9453,0.90335,0.83437,0.91966,0.902,0.23243,0.50142,0.65632,0.0003466,0.0003466,0.0003466
35,69284.4,0.29221,0.57408,0.92904,0.88541,0.85149,0.92299,0.90794,0.23021,0.52524,0.64643,0.0003268,0.0003268,0.0003268
36,71179.5,0.29104,0.55617,0.93865,0.86034,0.83528,0.92625,0.91245,0.23659,0.53802,0.64683,0.000307,0.000307,0.000307
37,72337.6,0.29473,0.57707,0.93474,0.86517,0.86327,0.92782,0.91207,0.23112,0.50211,0.65235,0.0002872,0.0002872,0.0002872
38,73244.9,0.28373,0.55222,0.92856,0.84211,0.85416,0.91587,0.9002,0.21824,0.52108,0.63686,0.0002674,0.0002674,0.0002674
39,74049.2,0.28013,0.54785,0.92787,0.86939,0.8786,0.92627,0.91285,0.22211,0.49385,0.63919,0.0002476,0.0002476,0.0002476
40,75343.8,0.27104,0.50726,0.9222,0.86874,0.86852,0.9283,0.91158,0.21876,0.49964,0.63912,0.0002278,0.0002278,0.0002278
41,75951.1,0.22859,0.42345,0.91389,0.86441,0.87958,0.9273,0.9118,0.22359,0.48064,0.63873,0.000208,0.000208,0.000208
42,76861.4,0.21744,0.3885,0.90772,0.91701,0.85854,0.93058,0.91465,0.22198,0.47369,0.64001,0.0001882,0.0001882,0.0001882
43,77606,0.22031,0.36303,0.91181,0.87155,0.86883,0.92052,0.90826,0.20313,0.49021,0.61864,0.0001684,0.0001684,0.0001684
44,78339.9,0.20542,0.34902,0.89542,0.8885,0.88828,0.9359,0.92127,0.21186,0.44864,0.62589,0.0001486,0.0001486,0.0001486
45,78875.6,0.2005,0.33566,0.89688,0.87151,0.86795,0.92608,0.91547,0.19727,0.44874,0.61249,0.0001288,0.0001288,0.0001288
46,79403.6,0.19391,0.30959,0.89237,0.85374,0.89407,0.93012,0.91939,0.19043,0.45989,0.60457,0.000109,0.000109,0.000109
47,79919.2,0.19129,0.29715,0.88363,0.86814,0.88649,0.93443,0.92321,0.18299,0.44215,0.59753,8.92e-05,8.92e-05,8.92e-05
48,80434.9,0.17995,0.28248,0.87975,0.84786,0.90561,0.93493,0.92407,0.18885,0.43451,0.6051,6.94e-05,6.94e-05,6.94e-05
49,80956.3,0.18253,0.27356,0.87973,0.90824,0.86669,0.93661,0.92588,0.18893,0.43566,0.60827,4.96e-05,4.96e-05,4.96e-05
50,81607.3,0.17399,0.26908,0.87557,0.91849,0.84695,0.93501,0.92629,0.18322,0.43229,0.60265,2.98e-05,2.98e-05,2.98e-05
